First Name,Last Name,Phone Number,District,PT,State,Submission Status
Rajesh,Kumar,9876543210,Nashik,Nashik HQ,Maharashtra,Yes
Priya,Sharma,9876543211,Pune,Pune HQ,Maharashtra,Yes
Amit,Patel,9876543212,Sangli,Sangli HQ,Maharashtra,Pending
Sunita,Deshmukh,9876543213,Kolhapur,Kolhapur HQ,Maharashtra,Yes
Vijay,Jadhav,9876543214,Nashik,Nashik HQ,Maharashtra,No
Kavita,More,9876543215,Pune,Pune HQ,Maharashtra,Yes
Ramesh,Patil,9876543216,Jalna,Jalna HQ,Maharashtra,Yes
Asha,Kadam,9876543217,Sangli,Sangli HQ,Maharashtra,Pending
Suresh,Bhosale,9876543218,Nashik,Nashik HQ,Maharashtra,Yes
Mangal,Shinde,9876543219,Kolhapur,Kolhapur HQ,Maharashtra,Yes
